"","x"
"1","A: If your pineapple guava, or Feijoa sellowiana, is losing some leaves from the bottom, this is normal. As the new foliage starts, it will lose the older leaves."
"2","ø""I have the faith that he will come up out of this and he will be back to what he is,"" Guillen said. ""I don't think he's that far away. This guy has been the best closer in the game for the last three years, numbers wise."""
"3","“I was willing to assume command and I had a lot of luck,” she said."
"4","Governor O'Malley described Mr. Carey as ""a good friend"" and campaign contributor, and said the men last saw one another two months ago."
"5","But the county had changed the property's zoning in the intervening years and wouldn't grant English a development permit. Property rights lawyers intervened, and the outspoken English became the ""poster girl"" for 2004's Measure 37, which gave property owners the right to develop their land in the way permitted when they bought it."
"6","633 STATE ST $42,500"
"7","During the first wave this morning, Craig Sexton, 58, of Herculaneum, woke up to what sounded like softballs hitting his roof. When he looked outside, he saw hail that was the size of golfs balls littering his yard. He snapped photos. The hail was in the hundreds, spaced about two feet apart on his lawn."
"8","""It's been expensive and distracting for the district,"" said Lewis-Wolfram, who has clashed repeatedly with Holloway at public meetings and in closed sessions."
"9","The chief sponsor, Republican Steve Cookson of southeast Missouri, a retired school superintendent, no less, told a local television station that his bill has been misunderstood, and he only wanted to shift the discussion of sexuality from schools to the home. Jones said much the same thing, and Tilley has not been heard from."
"10","The Broncos are going to the playoffs as AFC West champions at 8-8. But they're entering the playoffs with a three-game losing streak, and they're not getting a lot of bang out of their top-ranked running game."
"11","Getting fat has never been easier, of course. Food is plentiful and convenient, and the bad stuff is tasty and cheap. At the end of long day, it's easier to buy a Happy Meal than to shop and prepare a balanced dinner. And who wants to hear the little darlings protest when presented with cauliflower over calzone?"
"12","Team Type 1 sprinter Aldo Ino Ilesic said he hopes Stage 2 and Stage 3, a 121.9-mile test from Auburn to Modesto, set up well for him. Stage 1 is a 118.7-mile run from South Lake Tahoe to Northstar-at-Tahoe Resort, about a lap and a half around the big lake."
"13","The bureau already has the cameras, and the footage could be accessed remotely on officers' smartphones or laptops."
"14","Those trade-offs include:"
"15","MARGERY B. MESS, 98, Oviedo, died Feb. 12. Baldwin-Fairchild Funeral Home, Oviedo Chapel."
"16","Donations can be dropped off during business hours through Nov. 25 at any of the 12 dealerships at the auto center on Tustin Ranch Road off the 5 freeway."
"17","The immortal song was recorded almost as an afterthought."
"18","They have argued that they don't have enough classroom space to comply with the statute. But the law does not allow them to turn children away for lack of space. And officials in the area's unaccredited districts - St. Louis and Riverview Gardens - say they cannot afford tuition for the thousands of students who might want to go elsewhere."
"19","The passengers were told to stay in their seats after the woman's mother, who was not flying with her, notified health officials that her daughter said she had developed an unusual rash while visiting the African nation."
"20","In an effort to put a statistic on what is an elusive and hidden practice, I asked the Orange County coroner to compile reports going back to 2007."
"21","""It's all just so terrible,"" Barkman said."
"22","Saints linebacker Jonathan Vilma, who has been accused of offering a $10,000 bounty for injuring quarterbacks Kurt Warner and Brett Favre in the 2009 playoffs, directly appealed his one-year suspension, but asked for a delay until the grievances are resolved."
"23","Tennessee - submitted applications to federal officials for waivers in the first round, and dozens more, including Missouri and Illinois, have said they intend to apply by the Feb. 21 deadline."
"24","Something that wasn't supposed to happen for one of the NHL's marquee franchises. Any major offseason moves will likely focus on shoring up a defense that floundered late in the year and was totally exposed by the Flyers."
"25","His impact was tangible as late in the campaign, TruthPAC shifted its strategy and targeted Gilbert with harsh personal attacks."
"26","Officials said McEady, 48, of Camden, failed to mention the beating in a report, and the inmate didn’t speak up. Instead, the Department of Corrections began to investigate after a routine review of a video showing the inmate’s transfer."
"27","Construction will take 40 days to complete, Thake said, adding that his company is also contractually obligated to remove about 2,200 barriers, fences and 16 grandstands within 30 days after the end of the event."
"28","Clarence “Clancy” Haverty Ridley, 69, died Thursday at St. Joseph’s Hospital of complications from a staph infection. A celebration of his life is scheduled at 10:30 a.m. Monday at the Cathedral of Christ the King. His ashes will be placed in the Cathedral of St. Philip columbarium after the evensong service there Sunday. SouthCare Cremation and Funeral Society, Marietta, is in charge of arrangements."
"29","Transport Services: Adam Therrien was promoted to president of the North Royalton transportation equipment provider. Former President Albert Therrien will work as chairman."
"30","The Tigers get one more night together before they take the court in the early afternoon in the third place game. Soldan will play a Republic team that was obliterated in its semifinal game against Kearny."
"31","The victims told police the locks did not appear to be tampered with when they returned to the locker room. Salem police said the cards were used to buy items at the Bridgeport Village Mall, Washington Square Mall and Pioneer Place Mall."
"32","Giving birth hasn't been her only challenge since the Beijing Olympics. An Army captain, she was deployed to Iraq from February through December 2009. She competes as an active member of WCAP, the Army's World Class Army Program."
"33","""We need to do something drastic,"" he remembers thinking as he and his colleagues dreamed up a space they christened the Chemistry Discovery Center. The center would become a prime example of the teaching innovation that is a major component of UMBC's rising national reputation."
"34","Ponti is currently with his family in Geneva, where his wife, Andrea, gave birth to their daughter last month."
"35","Earlier that day, underclassmen had transformed a sprawling hotel conference room into a darkened dance hall. Tables against the wall held chicken wings, bagels, heavy hors d’oeuvres and a massive punch bowl. Candles flickered atop circular tables, covered in brilliant white tablecloths."
"36","Others say the economy is too fragile to give up. In recent weeks, Wall Street economists and academics have suggested the government could back the refinancing of all homes with mortgages backed by Fannie Mae, Freddie Mac or other government entities. Christopher Mayer, a real estate professor at Columbia Business School, said that could benefit about 37 million homeowners."
"37","Districts also saw record levels of voter turnout last year, Belluscio said, with turnout doubling compared to the prior year. Many attributed this increase and the record budget defeats to Gov. Chris Christie's public call for voters to 'say no' to school budgets in districts where teachers refused to take pay freezes."
"38","Those jurors for whom a long trial would not pose an extreme hardship will be brought to the courthouse later this month, and provided more detailed questionnaires that will focus on potential exposure to pretrial publicity."
"39","For a comparison, I chose the 2009 Los Vascos Sauvignon Blanc from Chile's Casablanca region, priced at $11.99. Los Vascos, which dates to around 1736, was purchased in 1988 by France's Domaines Baron de Rothschild, the well-known producer of wines from Bordeaux. Previous vintages have gotten scores as high as 90 points from Wine Enthusiast and Wine & Spirits."
"40","""We’re getting double-digits when running open houses, so I think it’s overall very active out there,"" Luminiello said. ""Sellers are finally coming to terms with the true value and being realistic about their prices, so that’s helping everything get active again."""
"41","I plan to come back and do tryouts for the CFL as well as the UFL but for now I just plan on taking it one step at a time and winning games here in France."
"42","Jacobucci said the cities will always need state help because they have many tax-exempt businesses and organizations, and must pay for services because they are the county seat, or have prisons and state buildings."
"43","""It’s just another in a long line of failed attempts to subsidize Atlantic City,"" said Americans for Prosperity New Jersey Director Steve Lonegan, a conservative who lost to Christie in the 2009 GOP primary. ""The Revel Casino hit the jackpot here at government expense."""
"44","Hours: Lunch and dinner, 11:30 a.m.-close Monday-Saturday; 4 p.m.-close Sunday."
"45","Harden made a cross-court pass to Fisher in the left corner in front of the Oklahoma City bench. Then after a wide-open Shawn Marion fumbled the ball out of bounds under the Dallas basket, Westbrook hit a 3-pointer for a 48-33 lead that led to a timeout by Carlisle."
"46","""Try to outline their views and most important Obama’s goals which he expects to achieve during summit in July and how does his team plan to do it,"" Moscow ordered, according to the documents."
"47","Al-Maliki was given a red carpet welcome by First Vice President Mohammad Reza Rahimi at Saadabad Palace in north Tehran, state TV reported."
"48","Despite such complaints, restaurant owners are standing behind their big tables."
"49","Gilbert-area schools and businesses have been offering condolences to the family of Gilbert police Lt. Eric Shuhandler and launched efforts to assist his relatives with funeral expenses and other costs."
"50","Almost to a witness, the argument for same-sex marriage was the same: anecdotal stories relating embarrassing encounters with people in New Jersey and other states who were ignorant of the significance of a civil union; or an institution’s computerized system did not have the ability to register same-sex civil union couples and, in doing so, denied various civil union couples their due recognition."
"51","Gibson was arrested on drunken driving charges last week after police spotted him driving Whitis' car."
